red	green	blue
102	84	74	255
107	88	75	255
107	71	45	255
123	94	76	255
54	39	30	255
100	78	65	255
122	92	74	255
121	88	67	255
83	65	54	255
111	86	73	255
103	70	46	255
104	67	44	255
49	40	37	255
72	52	39	255
108	81	58	255
94	65	50	255
71	48	32	255
81	65	59	255
119	96	84	255
65	42	29	255
103	73	54	255
118	84	56	255
102	75	61	255
89	65	44	255
112	86	74	255
116	92	82	255
126	94	67	255
120	86	59	255
34	25	20	255
127	99	77	255
62	46	39	255
119	84	57	255
51	33	24	255
87	62	43	255
112	90	70	255
85	67	52	255
123	98	77	255
112	91	83	255
123	90	66	255
48	29	22	255
68	46	29	255
56	45	49	255
83	57	37	255
62	50	35	255
77	54	33	255
59	45	45	255
99	84	74	255
109	94	80	255
119	89	66	255
35	22	13	255
98	65	42	255
82	63	51	255
113	84	65	255
120	94	76	255
89	59	39	255
91	71	55	255
81	61	49	255
119	92	74	255
118	94	81	255
105	88	76	255
102	71	51	255
84	61	45	255
127	92	59	255
109	99	83	255
116	95	71	255
116	88	72	255
50	44	40	255
78	65	59	255
34	21	10	255
106	86	78	255
62	42	29	255
127	95	67	255
98	70	51	255
38	28	25	255
99	75	61	255
89	65	55	255
114	96	89	255
98	73	59	255
85	63	42	255
92	65	51	255
130	96	76	255
117	96	85	255
116	84	57	255
90	65	56	255
103	84	66	255
110	94	77	255
87	65	45	255
123	97	75	255
115	86	64	255
94	78	63	255
57	46	44	255
106	76	52	255
78	55	33	255
51	39	34	255
124	94	68	255
88	66	46	255
82	62	48	255
92	72	54	255
107	90	75	255
124	95	81	255
115	89	72	255
68	46	40	255
77	54	44	255
113	83	63	255
37	28	18	255
135	97	72	255
90	77	64	255
72	54	38	255
74	50	42	255
63	43	28	255
103	72	46	255
111	91	80	255
85	57	37	255
117	89	67	255
33	22	14	255
94	70	57	255
108	84	71	255
131	96	73	255
116	78	52	255
96	65	43	255
108	87	78	255
115	97	89	255
61	43	34	255
97	71	56	255
117	92	75	255
92	64	48	255
130	95	73	255
65	48	49	255
114	78	57	255
101	85	70	255
46	42	38	255
100	71	52	255
128	92	71	255
43	28	20	255
80	58	45	255
117	95	83	255
104	85	66	255
111	96	89	255
80	61	52	255
51	35	24	255
87	64	43	255
115	85	62	255
50	34	24	255
73	51	42	255
59	44	37	255
87	65	56	255
125	96	81	255
110	77	58	255
76	59	40	255
112	96	90	255
122	98	75	255
83	63	43	255
70	44	33	255
86	63	54	255
80	66	55	255
35	24	13	255
73	55	38	255
119	94	73	255
83	66	51	255
121	97	76	255
35	25	26	255
132	97	72	255
119	97	81	255
113	89	73	255
102	76	58	255
65	44	39	255
62	44	28	255
63	49	38	255
133	97	73	255
116	98	84	255
111	75	49	255
121	86	62	255
63	44	34	255
80	57	42	255
102	86	65	255
61	49	43	255
89	70	62	255
99	80	68	255
83	57	38	255
98	75	59	255
129	96	73	255
111	78	57	255
44	28	20	255
98	78	66	255
28	22	20	255
110	96	76	255
59	43	34	255
112	92	80	255
92	70	58	255
120	91	77	255
112	75	50	255
81	57	43	255
129	99	81	255
108	74	55	255
123	99	75	255
43	34	30	255
89	74	58	255
70	51	42	255
70	46	38	255
120	95	73	255
40	30	28	255
107	95	82	255
77	56	44	255
77	59	51	255
71	51	43	255
133	98	67	255
64	49	35	255
74	52	42	255
68	55	43	255
101	82	67	255
85	59	37	255
116	97	81	255
131	98	72	255
72	59	46	255
100	74	51	255
110	90	71	255
105	76	64	255
99	76	58	255
127	97	77	255
109	87	71	255
129	92	63	255
114	97	86	255
108	89	78	255
92	66	48	255
120	87	67	255
130	97	73	255
50	32	28	255
32	30	24	255
34	26	28	255
117	97	82	255
113	76	50	255
77	50	38	255
100	76	59	255
43	30	20	255
81	61	45	255
42	26	13	255
61	49	54	255
29	26	22	255
80	63	52	255
105	72	49	255
40	26	18	255
78	57	43	255
96	75	59	255
88	68	56	255
111	84	67	255
101	74	61	255
106	78	62	255
42	29	21	255
110	82	65	255
115	91	82	255
97	72	48	255
109	78	58	255
76	57	48	255
134	99	66	255
96	78	67	255
106	81	70	255
37	30	28	255
107	78	63	255
101	78	57	255
109	81	66	255
121	99	76	255
37	25	24	255
101	81	64	255
118	85	58	255
132	99	72	255
57	38	28	255
90	65	52	255
72	56	49	255
94	71	54	255
38	30	29	255
66	51	48	255
104	82	73	255
103	77	64	255
114	84	58	255
115	81	56	255
88	59	43	255
97	80	65	255
110	90	82	255
117	94	85	255
107	74	48	255
58	38	29	255
86	59	48	255
80	59	42	255
75	52	34	255
90	70	55	255
100	80	61	255
83	57	35	255
87	64	58	255
97	66	43	255
89	72	62	255
94	76	63	255
104	70	46	255
129	98	73	255
111	80	57	255
98	80	66	255
80	62	50	255
111	83	64	255
125	97	78	255
119	90	68	255
108	76	55	255
76	61	50	255
109	97	77	255
65	40	33	255
70	56	49	255
77	58	43	255
